date,score,total_position,nikkei_alloc,semi_alloc,capital,nikkei_ref_price,semi_ref_price,paper_pnl
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:23,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:24,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
